Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Pokemon,Series,1998,Nintendo  ,Game Freak  ,,,,,,,
2,Super Mario,Series,1983,Nintendo  ,Nintendo  ,,,,,,,
3,Call of Duty,Series,2003,Activision  ,Infinity Ward|Grey Matter Interactive|Treyarch|Sledgehammer Games|Raven Software|Neversoft|High Moon Studios  ,,,,,,,
4,Grand Theft Auto,Series,1998,ASC Games  ,Rockstar North|Rockstar Leeds|Digital Eclipse  ,,,,,,,
5,FIFA,Series,1993,EA Sports  ,Extended Play Productions (1991-1997)|EA Vancouver (1997-present)|EA Romania (2016-present)  ,,,,,,,
6,The Sims,Series,2000,Electronic Arts  ,Maxis  ,,,,,,,
7,Minecraft,Series,2011,Mojang  ,Mojang  ,,,,,,,
8,Tetris,Series,1984,Unknown  ,"Alexey Pajitnov|AcademySoft|Andromeda Software|Atari Games|Bullet-Proof Software|Electronic Arts|Elorg|Nintendo R&D1|Philips|Rowan Software|Spectrum HoloByte|Sphere, Inc.|Sanritsu Denki|Sega|SoMa Play| ZCT Systems|Gameloft  ",,,,,,,
9,Final Fantasy,Series,1987,Square  ,Square|Square Enix  ,,,,,,,
10,Need for Speed,Series,1994,Electronic Arts  ,EA Black Box|EA Bright Light|EA Canada|Eden Studios|Exient Entertainment|Firebrand Games|Ghost Games|Piranha Games|Slightly Mad Studios|Criterion Games|Firemonkeys Studios  ,,,,,,,
11,Mario Kart,Series,1992,Nintendo  ,Nintendo|Intelligent Systems|Retro Studios|Namco|Namco Bandai  ,,,,,,,
12,Assassin's Creed,Series,2007,Ubisoft  ,Ubisoft|Gameloft|Griptonite Games|Blue Byte  ,,,,,,,
13,Madden NFL,Series,1988,Electronic Arts  ,"Park Place Productions|D.C. True, Ltd.|Electronic Arts|Blue Sky Productions|Visual Concepts|High Score Productions|Halestorm|Tiertex|Tiburon Entertainment|EA Tiburon|EA Sports|THQ|3d6 Games|Budcat Creations|Exient Entertainment|EA Canada|HB Studios  ",,,,,,,
14,Wii Sports,Series,2006,Nintendo  ,Nintendo|Bandai Namco Studios  ,,,,,,,
15,The Legend of Zelda,Series,1987,Nintendo  ,Nintendo  ,,,,,,,
16,Pro Evolution Soccer,Series,1995,Konami  ,Konami  ,,,,,,,
17,Lego,Series,1997,Mindscape  ,TT Fusion  ,,,,,,,
18,Resident Evil,Series,1996,Capcom  ,Capcom  ,,,,,,,
19,NBA 2K,Series,1999,Sega  ,Visual Concepts|Saber Interactive   ,,,,,,,
20,Wii Sports,Wii,2006,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
21,Gran Turismo,Series,1998,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,
22,Dragon Quest,Series,1986,Square  ,ArtePiazza|Chunsoft|Heartbeat|Level-5|Square Enix  ,,,,,,,
23,Battlefield,Series,2002,Electronic Arts  ,EA DICE|Easy Studios|Neowiz Games|Visceral Games  ,,,,,,,
24,Sonic the Hedgehog,Series,1991,Sega  ,Sonic Team  ,,,,,,,
25,Tomb Raider,Series,1996,Eidos Interactive  ,Core Design|Crystal Dynamics|Nixxes Software|Ubisoft Milan|Eidos Montreal  ,,,,,,,
26,Halo,Series,2001,Microsoft Game Studios  ,Bungie|343 Industries  ,,,,,,,
27,Just Dance,Series,2009,Ubisoft  ,Ubisoft  ,,,,,,,
28,WWE 2K,Series,2000,THQ  ,Visual Concepts  ,,,,,,,
29,Counter-Strike,Series,2000,Valve  ,Valve|Turtle Rock Studios|Hidden Path Entertainment|Gearbox Software|Ritual Entertainment|Nexon  ,,,,,,,
30,The Oregon Trail,Series,2071,MECC  ,MECC|Broderbund|Gameloft  ,,,,,,,
31,Donkey Kong,Series,1981,Nintendo  ,Nintendo|Ikegami Tsushinki|Rare|Namco|Paon|Retro Studios  ,,,,,,,
32,Super Smash Bros.,Series,1999,Nintendo  ,Nintendo|HAL Laboratory| Game Arts|Sora Ltd.|Bandai Namco Studios  ,,,,,,,
33,Monster Hunter,Series,2004,Capcom  ,Capcom  ,,,,,,,
34,PUBG,Series,2017,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
35,The Elder Scrolls,Series,1994,Bethesda Softworks  ,Bethesda Softworks|Bethesda Game Studios|Vir2L Studios|TKO Software|ZeniMax Online Studios|Dire Wolf Digital  ,,,,,,,
36,Borderlands,Series,2009,2K Games  ,Gearbox Software|2K Australia|Telltale Games  ,,,,,,,
37,Dragon Ball,Series,1986,Bandai  ,Tose|Bandai|BEC|Dimps|Avalanche Software|Spike Chunsoft|Arika|Crafts & Meister|Media.Vision|Spike|Artdink|Arc System Works|CyberConnect2|Webfoot Technologies|Banpresto|Cavia|Game Republic|Monolith Soft|Ganbarion  ,,,,,,,
38,Metal Gear,Series,1987,Konami  ,Konami|Kojima Productions|Bluepoint Games|Ideaworks Game Studio| PlatinumGames|Silicon Knights  ,,,,,,,
39,Far Cry,Series,2004,Ubisoft  ,Ubisoft|Crytek  ,,,,,,,
40,Mario Party,Series,1999,Nintendo  ,Hudson Soft|Capcom|NDcube  ,,,,,,,
41,Bejeweled,Series,2001,PopCap Games  ,PopCap Games  ,,,,,,,
42,Crash Bandicoot,Series,1996,Sony Computer Entertainment  ,Naughty Dog|Eurocom|Dimps|Radical Entertainment|Polarbit|Vicarious Visions|Beenox  ,,,,,,,
43,Diablo,Series,1997,Blizzard Entertainment  ,Blizzard North|Blizzard Entertainment|NetEase  ,,,,,,,
44,Tekken,Series,1994,Namco  ,Bandai Namco Studios|Namco  ,,,,,,,
45,Animal Crossing,Series,2002,Nintendo  ,Nintendo  ,,,,,,,
46,Fallout,Series,1997,Interplay Productions  ,Interplay Entertainment|Black Isle Studios|Micro Forte|Bethesda Game Studios|Obsidian Entertainment  ,,,,,,,
47,Mortal Kombat,Series,1992,Midway  ,"Avalanche Software|Eurocom|Just Games Interactive|Midway Games|Midway Studios Los Angeles|Other Ocean Interactive|Point of View, Inc.|NetherRealm Studios  ",,,,,,,
48,Red Dead,Series,2004,Rockstar Games  ,Rockstar San Diego|Rockstar Studios  ,,,,,,,
49,Uncharted,Series,2007,Sony Computer Entertainment  ,Naughty Dog|Bend Studio|Bluepoint Games|Playspree  ,,,,,,,
50,Civilization,Series,1991,Microprose  ,Firaxis Games|MicroProse|Activision  ,,,,,,,
51,Street Fighter,Series,1987,Capcom  ,Capcom  ,,,,,,,
52,Wii Fit,Series,2008,Nintendo  ,Nintendo|Ganbarion  ,,,,,,,
53,Star Wars: Battlefront,Series,2004,LucasArts  ,Pandemic Studios|Free Radical Design|Rebellion Developments|Slant Six Games|LucasArts|EA DICE|Criterion Games|Motive Studios  ,,,,,,,
54,Harry Potter,Series,2001,Electronic Arts  ,Griptonite Games|KnowWonder|Argonaut Games|Westlake Entertainment|Warthog Games Limited|Eurocom|Electronic Arts|Aspyr|Magic Pockets| EA Bright Light|TT Fusion|SCE London Studio|Jam City|Niantic|WB Games San Francisco  ,,,,,,,
55,Warriors,Series,N/A,Unknown  ,Omega Force  ,,,,,,,
56,Super Mario Bros.,NES,1985,Nintendo  ,Nintendo EAD  ,10.0,8.2,29.08,3.58,6.81,0.77,40.24
57,Counter-Strike: Global Offensive,PC,2012,Valve  ,Valve Corporation  ,,,,,,,
58,Guitar Hero,Series,2005,Activision  ,Harmonix|Neversoft|Budcat Creations|Vicarious Visions|FreeStyleGames  ,,,,,,,
59,The Witcher,Series,2007,Atari  ,CD Projekt Red Studio  ,,,,,,,
60,Kirby,Series,1992,Nintendo  ,HAL Laboratory|Nintendo|Good-Feel|Flagship|Natsume|Capcom|Dimps|Arika  ,,,,,,,
61,Medal of Honor,Series,1999,Electronic Arts  ,"2015, Inc.|Budcat Creations|Danger Close Games|DreamWorks Interactive|EA Canada|EA Digital Illusions CE|EA Los Angeles|Netherock Ltd.|Rebellion Developments|Team Fusion|TKO Software  ",,,,,,,
62,Mario Kart Wii,Wii,2008,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98
63,World of WarCraft,Series,N/A,Unknown  ,Blizzard Entertainment  ,,,,,,,
64,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
65,God of War,Series,2005,Sony Computer Entertainment  ,SIE Santa Monica Studio|Ready at Dawn|Javaground/SOE-LA|Bluepoint Games|Sanzaru Games|Wholesale Algorithms  ,,,,,,,
66,Mega Man,Series,1987,Capcom  ,Capcom|Inti Creates  ,,,,,,,
67,NBA Live,Series,1994,EA Sports  ,EA Canada|EA Tiburon  ,,,,,,,
68,Brain Age,Series,2006,Nintendo  ,Nintendo  ,,,,,,,
69,Minecraft,PC,2010,Mojang  ,Mojang AB  ,10.0,,,,,,
70,Wii Sports Resort,Wii,2009,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9
71,Half-life,Series,1998,Sierra Studios  ,Valve|Gearbox Software  ,,,,,,,
72,Lego Star Wars,Series,2005,Eidos Interactive  ,TT Fusion  ,,,,,,,
73,Pokémon Red / Green / Blue Version,GB,1998,Nintendo  ,Game Freak  ,9.4,,11.27,8.89,10.22,1.0,31.37
74,Tom Clancy's Splinter Cell,Series,2002,Ubisoft  ,Ubisoft  ,,,,,,,
75,Age of Empires,Series,1997,Microsoft  ,Ensemble Studios|Big Huge Games|Robot Entertainment|Relic Entertainment|Hidden Path Entertainment|Forgotten Empires|Tantalus Media  ,,,,,,,
76,New Super Mario Bros.,DS,2006,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85
77,New Super Mario Bros. Wii,Wii,2009,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51
78,Tetris,GB,1989,Nintendo  ,Bullet Proof Software  ,,,23.2,2.26,4.22,0.58,30.26
79,Tony Hawk's,Series,1999,Activision  ,Neversoft|Robomodo|Maple Media|Vicarious Visions|Edge of Reality|Natsume|Treyarch|Shaba Games|HotGen|Gearbox Software|Beenox|Visual Impact|Toys For Bob|SuperVillain Studios|Page 44 Studios|Creat Studios|Buzz Monkey|Big Bit|Disruptive Games  ,,,,,,,
80,Command & Conquer,Series,1995,Electronic Arts  ,Westwood Studios|EA Los Angeles|Victory Games|EA Phenomic|EA Redwood Studios  ,,,,,,,
81,James Bond,Series,N/A,Unknown  ,Richard Shepherd Software|Parker Brothers|Domark|Angelsoft|Melbourne House|Sculptured Software|Elite Systems International|Quixel|The Kremlin|	Delphine Software International|Eurocom|Gray Matter|Tiger Electronics|Rare|Saffire Corporation|Black Ops Enterta  ,,,,,,,
82,Kingdom Hearts,Series,2002,Square  ,Square|Square Enix|Jupiter|h.a.n.d.|BitGroove Inc.|Success  ,,,,,,,
83,Terraria,Series,2011,505 Games  ,Re-Logic  ,,,,,,,
84,Wii Play,Series,2007,Nintendo  ,Nintendo|Arzest|Chunsoft|Good-Feel|Mitchell Corporation|Nd Cube|Prope|Skip Ltd.|Vanpool  ,,,,,,,
85,Tom Clancy's Ghost Recon,Series,2001,Ubisoft  ,Red Storm Entertainment|Ubisoft Paris|Ubisoft Milan  ,,,,,,,
86,Nintendogs,Series,2005,Nintendo  ,Nintendo  ,,,,,,,
87,Duck Hunt,NES,1985,Nintendo  ,Nintendo R&D1  ,,,26.93,0.63,0.28,0.47,28.31
88,Wii Play,Wii,2007,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92
89,Total War,Series,2000,Electronic Arts  ,Creative Assembly|Feral Interactive  ,,,,,,,
90,Portal,Series,2007,Valve  ,Valve  ,,,,,,,
91,Ratchet & Clank,Series,2002,Sony Computer Entertainment  ,Insomniac Games|High Impact Games|Sanzaru Games|Nihilistic Software|Idol Minds|Tin Giant|Mass Media  ,,,,,,,
92,Rayman,Series,1995,Ubisoft  ,Ubisoft  ,,,,,,,
93,Souls,Series,2009,Atlus  ,From Software  ,,,,,,,
94,Tom Clancy's Rainbow Six,Series,1998,Red Storm Entertainment  ,Ubisoft|Red Storm Entertainment  ,,,,,,,
95,Mario & Sonic at the Olympic Games,Series,2007,Sega  ,Sega|Racjin|Arzest|Spike Chunsoft  ,,,,,,,
96,Yoshi,Series,1992,Nintendo  ,Nintendo|Artoon|Arzest|Good-Feel|Game Freak|	Tose|Bullet-Proof Software  ,,,,,,,
97,BioShock,Series,2007,2K Games  ,Irrational Games|2K Australia|2K Marin  ,,,,,,,
98,Puyo Puyo,Series,2002,THQ  ,Compile|Sonic Team  ,,,,,,,
99,Tiger Woods PGA Tour,Series,1998,EA Sports  ,EA Redwood Shores|Xantera|Rainbow Studios|Headgate Studios|Stormfront Studios|Rebellion Developments|Adrenalin Entertainment|Backbone Emeryville|Sensory Sweep Studios|EA Canada|Team Fusion|EA Tiburon|Exient Entertainment|HB Studios   ,,,,,,,
100,Mario Kart 8 Deluxe,NS,2017,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
101,Kinect Adventures!,X360,2010,Microsoft Game Studios  ,Good Science Studio  ,6.7,,15.09,4.97,0.24,1.81,22.1
102,Petz,Series,N/A,Unknown  ,PF Magic|Mindscape|Ubisoft  ,,,,,,,
103,Nintendogs,DS,2005,Nintendo  ,Nintendo EAD  ,8.4,,9.05,10.96,1.93,2.74,24.68
104,Mario Kart DS,DS,2005,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26
105,Pokémon Gold / Silver Version,GB,2000,Nintendo  ,Game Freak  ,9.2,,9.0,6.18,7.2,0.71,23.1
106,Gears of War,Series,2006,Microsoft Game Studios  ,Epic Games|People Can Fly|The Coalition|Mediatonic|Splash Damage  ,,,,,,,
107,Wii Fit,Wii,2008,Nintendo  ,Nintendo EAD  ,7.9,,8.92,8.03,3.6,2.15,22.7
108,Jikkyo Powerful Pro Yakyu,Series,1994,Konami  ,Konami  ,,,,,,,
109,Castlevania,Series,1986,Konami  ,Konami|Eighting|MercurySteam|Kojima Productions|M2  ,,,,,,,
110,Spider-Man,Series,N/A,Unknown  ,Parker Brothers|Rare|Sega|Bits Studios|Software Creations|Unexpected Development|Neversoft|Torus Games|Vicarious Visions|PCB Productions|Paradox Development|Treyarch|Next Level Games|Shaba Games|Gameloft|Beenox|Insomniac Games  ,,,,,,,
111,Wii Fit Plus,Wii,2009,Nintendo  ,Nintendo EAD  ,8.0,,9.01,8.51,2.53,1.76,21.81
112,Devil May Cry,Series,2001,Capcom  ,Capcom|Ninja Theory  ,,,,,,,
113,Imagine,Series,2007,Ubisoft  ,Ubisoft|Lexis Numerique|Magic Pockets|Virtual Toys|Powerhead Games|Jet Black Games  ,,,,,,,
114,Super Mario World,SNES,1991,Nintendo  ,Nintendo EAD  ,8.5,,12.78,3.75,3.54,0.55,20.61
115,Grand Theft Auto V,PS3,2013,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32
116,Football Manager,Series,2004,Sega  ,Sports Interactive  ,,,,,,,
117,Frogger,Series,1981,Konami  ,Konami|Parker Brothers|SCE Cambridge Studio|Blitz Games|Game Titan|Vicarious Visions|Hudson Soft|Voletx|Hijinx Studios|Alpha Unit  ,,,,,,,
118,Gundam,Series,N/A,Unknown  ,Banpresto|B.B. Studio  ,,,,,,,
119,Lemmings,Series,1991,Psygnosis  ,DMA Design|SunSoft|Probe Entertainment|Psygnosis|Ocean Software|Clockwork Games|Team17|Visual Science|Rusty Nutz|d3t Ltd|Sad Puppy  ,,,,,,,
120,Naruto: Ultimate Ninja,Series,2006,Bandai Namco Entertainment  ,CyberConnect2  ,,,,,,,
121,Prince of Persia,Series,1989,Broderbund  ,Broderbund|Red Orb Entertainment|Avalanche Software|Ubisoft|Pipeworks Software|Gameloft  ,,,,,,,
122,Rayman Raving Rabbids,Series,2006,Ubisoft  ,Ubisoft|Headstrong Games  ,,,,,,,
123,SimCity,Series,1989,Maxis  ,Maxis|Tilted Mill Entertainment|Aspyr Media|Full Fat|Infogrames|Nintendo|Babaroga|HAL Laboratory|Track Twenty  ,,,,,,,
124,SingStar,Series,N/A,Unknown  ,London Studios  ,,,,,,,
125,SpongeBob SquarePants,Series,2001,THQ  ,"Vicarious Visions|Engine Software|AWE Games|Climax Development|Data Design Interactive|BigSky Interactive, Inc.|Heavy Iron Studios|WayForward Technologies|THQ|Blue Tongue Entertainment|Tantalus Media|Pronto Games|Blitz Games  ",,,,,,,
126,Spyro,Series,1998,Sony Computer Entertainment  ,Insomniac Games|Digital Eclipse|Equinoxe Digital Entertainment|Check Six Studios|Vicarious Visions|Eurocom|Amaze Entertainment|Toys for Bob  ,,,,,,,
127,Tales of,Series,1998,Namco  ,Bandai Namco Studios|Namco Tales Studio|Wolf Team  ,,,,,,,
128,The Last of Us,Series,2013,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,
129,Grand Theft Auto V,PS4,2014,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39
130,Teenage Mutant Ninja Turtles,Series,1989,Konami  ,Konami|Red Fly Studio|Game Arts|Magic Pockets|The Bakers Games|PlatinumGames|Ubisoft|Overloaded|Nickelodeon|WayForward Technologies  ,,,,,,,
131,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Nintendo  ,Nintendo SDD  ,8.1,,4.74,9.21,4.16,2.04,20.16
132,Driver,Series,1999,GT Interactive  ,Ubisoft Reflections|Sumo Digital|Ubisoft  ,,,,,,,
133,WarCraft,Series,N/A,Unknown  ,Blizzard Entertainment|Cyberlore Studios|Lemon Sky  ,,,,,,,
134,Super Smash Bros. Ultimate,NS,2018,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95
135,Mario Kart 7,3DS,2011,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03,5.35,3.0,1.11,15.49
136,Midnight Club,Series,2000,Rockstar Games  ,Rockstar San Diego|Rebellion Developments|Rockstar Leeds|Rockstar London  ,,,,,,,
137,Batman: Arkham,Series,2009,Warner Bros. Interactive Entertainment  ,"Rocksteady Studios|WB Games Montreal|Splash Damage|Human Head Studios|NetherRealm Studios|Armature Studio|Turbine, Inc.  ",,,,,,,
138,Super Mario Land,GB,1989,Nintendo  ,Nintendo R&D1  ,,,10.83,2.71,4.18,0.42,18.14
139,Pokémon Diamond / Pearl Version,DS,2007,Nintendo  ,Game Freak  ,8.6,,6.38,4.47,6.04,1.36,18.25
140,StarCraft,Series,1998,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
141,Metroid,Series,1987,Nintendo  ,Nintendo|Intelligent Systems|Retro Studios|Team Ninja|Next Level Games|MercurySteam  ,,,,,,,
142,Super Mario Odyssey,NS,2017,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71
143,The Legend of Zelda: Breath of the Wild,NS,2017,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46
144,Pokémon Sword / Shield,NS,2019,Nintendo  ,Game Freak  ,,,,,,,
145,Grand Theft Auto: San Andreas,PS2,2004,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81
146,Super Mario Bros. 3,NES,1990,Nintendo  ,Nintendo R&D2  ,,,9.54,3.44,3.84,0.46,17.28
147,RollerCoaster Tycoon,Series,1999,Hasbro Interactive  ,Chris Sawyer Productions|Frontier Developments|n-Space|On5|Nvizzio Creations  ,,,,,,,
148,Mass Effect,Series,2007,Microsoft Game Studios  ,BioWare|IronMonkey Studios  ,,,,,,,
149,Professor Layton,Series,2008,Nintendo  ,Level-5|Matrix Software  ,,,,,,,
150,Zuma,Series,2003,PopCap Games  ,Oberon Media|PopCap Games  ,,,,,,,
151,Garry's Mod,PC,2006,Valve  ,Facepunch Studios  ,,,,,,,
152,Hitman,Series,2000,Eidos Interactive  ,IO Interactive  ,,,,,,,
153,Pokémon X/Y,3DS,2013,Nintendo  ,Game Freak  ,8.9,9.7,5.68,5.06,4.4,0.99,16.13
154,Uncharted 4: A Thief's End,PS4,2016,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33
155,Pokémon Ruby / Sapphire Version,GBA,2003,Nintendo  ,Game Freak  ,8.8,,6.06,3.9,5.38,0.5,15.85
156,Pokémon Sun/Moon,3DS,2016,Nintendo  ,Game Freak  ,9.0,,6.02,4.34,3.82,0.99,15.17
157,The Lord of the Rings,Series,N/A,Unknown  ,"Beam Software|Parker Brothers|Melbourne House|Interplay|Chaos Studios|Papyrus|Surreal Software|The Whole Experience|Pocket Studios|Liquid Entertainment|Midway Austin|Saffire Corporation|Turbine, Inc.|Daybreak Game Company|Fantasy Flight Interactive|Daedal  ",,,,,,,
158,Grand Theft Auto: Vice City,PS2,2002,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15
159,Super Robot Wars,Series,1991,Bandai  ,Banpresto|B.B. Studio|Winkysoft|Bandai Namco Entertainment  ,,,,,,,
160,Grand Theft Auto V,X360,2013,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86
161,Luigi's Mansion,Series,2001,Nintendo  ,Nintendo|Next Level Games|Grezzo  ,,,,,,,
162,Pokémon Black / White Version,DS,2011,Nintendo  ,Game Freak  ,8.6,9.0,5.51,3.2,5.66,0.8,15.18
163,Pokemon Mystery Dungeon,Series,2006,Nintendo  ,Chunsoft|Spike Chunsoft  ,,,,,,,
164,Call of Duty: Black Ops 3,PS4,2015,Activision  ,Treyarch  ,,,6.18,6.05,0.41,2.44,15.09
165,Splatoon,Series,2015,Nintendo  ,Nintendo  ,,,,,,,
166,Counter-Strike: Source,PC,2004,VU Games  ,Valve Software  ,9.3,,,0.07,,0.01,0.08
167,Backyard Sports,Series,1997,Humongous Entertainment  ,Humongous Entertainment  ,,,,,,,
168,Barbie,Series,N/A,Unknown  ,Imagineering|Media Station|Tahoe Software Productions|Software Creations|	Digital Domain|Mattel Interactive|Human Code|Runecraft|Gorilla Systems Corporation|Krome Studios|Vicarious Visions|Cyber Planet Interactive|Gigawatt Studios|DICE Canada  ,,,,,,,
169,Burnout,Series,2001,Acclaim Entertainment  ,Criterion Games|Electornic Arts  ,,,,,,,
170,Famista,Series,1986,Namco  ,Namco|Bandai Namco Entertainment  ,,,,,,,
171,Gex,Series,1995,BMG Interactive Entertainment  ,Crystal Dynamics|David A. Palmer Productions|Gratuitous Games|Realtime Associates  ,,,,,,,
172,Just Cause,Series,2006,Eidos Interactive  ,Avalanche Studios  ,,,,,,,
173,Sonic the Hedgehog,GEN,1991,Sega  ,Sonic Team  ,,,3.03,0.91,0.26,0.13,4.34
174,SoulCalibur,Series,1996,Namco  ,Project Soul  ,,,,,,,
175,Mario Tennis,Series,1995,Nintendo  ,Nintendo|Camelot Software Planning  ,,,,,,,
176,Gran Turismo 3: A-Spec,PS2,2001,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98
177,Brain Age 2: More Training in Minutes a Day,DS,2007,Nintendo  ,Nintendo SDD  ,8.0,,3.43,5.36,5.32,1.18,15.29
178,Call of Duty: Modern Warfare 3,X360,2011,Activision  ,Infinity Ward  ,8.7,,9.07,4.29,0.13,1.33,14.82
179,Call of Duty: Black Ops,X360,2010,Activision  ,Treyarch  ,8.8,,9.76,3.73,0.11,1.14,14.74
180,Pokémon Yellow: Special Pikachu Edition,GB,1999,Nintendo  ,Game Freak  ,8.7,,5.89,5.04,3.12,0.59,14.64
181,Ace Combat,Series,1995,Namco  ,Namco|Arsys Software|Project Aces|HumanSoft|Access Games|Namco Bandai|QLoc|Bandai Namco Studios  ,,,,,,,
182,Halo 3,X360,2007,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13
183,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014,Nintendo  ,Game Freak  ,,,4.78,3.98,3.15,0.82,12.73
184,Everybody's Golf,Series,1998,Sony Computer Entertainment  ,Camelot Software|Clap Hanz   ,,,,,,,
185,Terraria,PC,2011,Unknown  ,Re-Logic  ,8.8,,,0.13,,0.01,0.14
186,Yo-kai Watch,Series,2015,Nintendo  ,Level 5  ,,,,,,,
187,Red Dead Redemption 2,PS4,2018,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94
188,Call of Duty: Black Ops II,X360,2012,Activision  ,Treyarch  ,,,8.27,4.32,0.07,1.2,13.86
189,Call of Duty: Black Ops II,PS3,2012,Activision  ,Treyarch  ,,,4.99,5.88,0.65,2.28,13.8
190,Call of Duty: Modern Warfare 2,X360,2009,Activision  ,Infinity Ward  ,9.5,9.0,8.54,3.63,0.08,1.28,13.53
191,Guild Wars,Series,2005,NCSoft  ,ArenaNet  ,,,,,,,
192,Animal Crossing: New Horizons,NS,2020,Nintendo  ,Nintendo  ,,,,,,,
193,Call of Duty: WWII,PS4,2017,Activision  ,Sledgehammer Games  ,8.0,,4.67,6.21,0.4,2.12,13.4
194,Call of Duty: Modern Warfare 3,PS3,2011,Activision  ,Infinity Ward  ,8.8,,5.54,5.78,0.49,1.54,13.35
195,New Super Mario Bros. 2,3DS,2012,Nintendo  ,Nintendo  ,7.5,,3.95,4.07,2.59,0.72,11.33
196,Super Smash Bros. Brawl,Wii,2008,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91
197,Marvel's Spider-Man,PS4,2018,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,3.64,3.39,0.32,1.41,8.76
198,Grand Theft Auto III,PS2,2001,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1
199,Portal 2,PC,2011,Valve  ,Valve Software  ,9.7,,0.33,0.33,,0.1,0.75
200,Saints Row,Series,2006,THQ  ,Volition|High Voltage Software  ,,,,,,,
201,Dead Rising,Series,2006,Capcom  ,Capcom  ,,,,,,,
202,Minecraft,X360,2013,Microsoft Studios  ,Mojang  ,,,5.96,2.94,0.02,0.9,9.82
203,Scribblenauts,Series,2009,Warner Bros. Interactive Entertainment  ,5th Cell|Iron Galaxy Studios  ,,,,,,,
204,Super Mario Galaxy,Wii,2007,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4
205,Pokémon Heart Gold / Soul Silver Version,DS,2010,Nintendo  ,Game Freak  ,8.6,,4.34,2.72,3.96,0.76,11.78
206,Super Mario 3D Land,3DS,2011,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1,3.46,2.15,0.85,11.56
207,Call of Duty: Black Ops,PS3,2010,Activision  ,Treyarch  ,8.7,,6.01,4.4,0.48,1.78,12.67
208,Grand Theft Auto V,PC,2015,Rockstar Games  ,Rockstar North  ,,,0.48,0.76,,0.1,1.33
209,Animal Crossing: New Leaf,3DS,2013,Nintendo  ,Nintendo EAD  ,8.6,,2.46,3.06,4.9,0.48,10.9
210,Myst,Series,1993,Broderbund  ,"Cyan, Inc.|Presto Studios|Cyan Worlds|Ubisoft  ",,,,,,,
211,Momotaro Dentetsu,Series,1988,Hudson Soft  ,Hudson Soft  ,,,,,,,
212,The Witcher 3: Wild Hunt,PC,2015,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.29,0.55,,0.07,0.91
213,Wario,Series,1994,Nintendo  ,Nintendo|Treasure|Suzak|Good-Feel  ,,,,,,,
214,Mario & Luigi,Series,2003,Nintendo  ,AlphaDream|Good-Feel|Nintendo|Arzest  ,,,,,,,
